everyday,quantity,forecast_quantity
15-04-2023,17100,
16-04-2023,17580,
17-04-2023,16800,
18-04-2023,18300,
19-04-2023,18780,
22-04-2023,17460,
23-04-2023,18120,
24-04-2023,15720,
25-04-2023,15960,
26-04-2023,17040,
27-04-2023,14220,
28-04-2023,16020,
29-04-2023,14400,
30-04-2023,16740,
01-05-2023,13860,
02-05-2023,15960,
03-05-2023,16140,
04-05-2023,14640,
05-05-2023,13800,
06-05-2023,14700,
07-05-2023,15480,
08-05-2023,15300,
09-05-2023,14160,
10-05-2023,12960,
11-05-2023,14580,
12-05-2023,16980,
13-05-2023,15780,
14-05-2023,15360,
15-05-2023,15360,
16-05-2023,15660,
17-05-2023,17040,
18-05-2023,15660,
19-05-2023,17400,
20-05-2023,17460,
21-05-2023,17400,
22-05-2023,16320,
23-05-2023,14100,
24-05-2023,14520,
25-05-2023,15000,
26-05-2023,15720,
27-05-2023,15360,
28-05-2023,16440,
29-05-2023,14640,
30-05-2023,14520,
31-05-2023,15660,
01-06-2023,13440,
02-06-2023,11640,
03-06-2023,14820,
04-06-2023,15900,
05-06-2023,15480,
06-06-2023,14340,
07-06-2023,15180,
08-06-2023,13980,
09-06-2023,14340,
10-06-2023,13020,
11-06-2023,12840,
12-06-2023,12360,
13-06-2023,13500,
14-06-2023,13380,
15-06-2023,13800,
16-06-2023,13920,
17-06-2023,14160,
18-06-2023,14100,
19-06-2023,13020,
20-06-2023,11820,
21-06-2023,13200,
22-06-2023,13320,
23-06-2023,12180,
24-06-2023,11820,
25-06-2023,10140,
26-06-2023,9780,
27-06-2023,15660,
29-06-2023,12840,
30-06-2023,9780,
01-07-2023,10200,
02-07-2023,10380,
03-07-2023,9720,
04-07-2023,9600,
05-07-2023,9060,
06-07-2023,7860,
07-07-2023,7140,
08-07-2023,8160,
09-07-2023,7740,
10-07-2023,9900,
11-07-2023,10860,
12-07-2023,10560,
13-07-2023,11220,
14-07-2023,9060,
15-07-2023,10860,
16-07-2023,10560,
17-07-2023,11400,
18-07-2023,8400,
19-07-2023,6120,
20-07-2023,6000,
21-07-2023,5700,
22-07-2023,5640,
23-07-2023,7680,
24-07-2023,7380,
25-07-2023,7440,
26-07-2023,6420,
27-07-2023,6000,
28-07-2023,7920,
29-07-2023,9900,
30-07-2023,9720,
31-07-2023,10380,
01-08-2023,10560,
02-08-2023,8940,
03-08-2023,7140,
04-08-2023,5460,
05-08-2023,5700,
06-08-2023,6840,
07-08-2023,6720,
08-08-2023,7620,
09-08-2023,6180,
10-08-2023,7080,
11-08-2023,7200,
12-08-2023,7740,
13-08-2023,7920,
14-08-2023,9060,
15-08-2023,8040,
16-08-2023,8100,
17-08-2023,8580,
18-08-2023,7380,
19-08-2023,6720,
20-08-2023,8100,7951.015554
21-08-2023,7860,7052.99337
22-08-2023,,7262.579436
23-08-2023,,7492.115864
24-08-2023,,7918.178653
25-08-2023,,8571.346147
26-08-2023,,7698.288023
27-08-2023,,8498.147777
28-08-2023,,8554.795328
29-08-2023,,8928.371174
30-08-2023,,8133.165508
31-08-2023,,8126.300893
01-09-2023,,8162.261652
02-09-2023,,8473.678347
03-09-2023,,8478.008984
04-09-2023,,8766.706694
05-09-2023,,8146.010689
06-09-2023,,7555.870824
07-09-2023,,8213.0131
08-09-2023,,8796.299849
09-09-2023,,9039.865725
10-09-2023,,9465.465509
11-09-2023,,9313.396101
12-09-2023,,9750.578578
13-09-2023,,9234.618371
14-09-2023,,9340.836237
15-09-2023,,9159.885607
16-09-2023,,9851.211758
17-09-2023,,10134.60063
18-09-2023,,9518.82019
19-09-2023,,9891.541301
20-09-2023,,8674.546042
21-09-2023,,8798.35209
22-09-2023,,9394.630723
23-09-2023,,8051.945084
24-09-2023,,8855.655556
25-09-2023,,8138.121019
26-09-2023,,9299.063522
27-09-2023,,7862.222762
28-09-2023,,8922.913792
29-09-2023,,9146.711946
30-09-2023,,8336.429438
01-10-2023,,7955.158047
02-10-2023,,8414.613829
03-10-2023,,8942.850802
04-10-2023,,8816.350694
05-10-2023,,8278.591681
06-10-2023,,7570.268749
07-10-2023,,8604.163134
08-10-2023,,9900.444644
09-10-2023,,9280.307242
10-10-2023,,9134.701185
11-10-2023,,9238.322282
12-10-2023,,6405.481428
13-10-2023,,7131.650793
14-10-2023,,7367.310659
15-10-2023,,8122.135724
16-10-2023,,7532.891772
17-10-2023,,8021.342281
18-10-2023,,6520.817498
19-10-2023,,8713.555138
20-10-2023,,7607.621971
21-10-2023,,7337.314232
22-10-2023,,7218.349059
23-10-2023,,7817.122197
24-10-2023,,7510.999037
25-10-2023,,7740.015602
26-10-2023,,7457.903987
27-10-2023,,8747.735812
28-10-2023,,9043.483007
29-10-2023,,8441.883209
30-10-2023,,9163.182572
31-10-2023,,8671.572438
01-11-2023,,7815.613002
02-11-2023,,8243.556138
03-11-2023,,7773.250541
04-11-2023,,8603.202404
05-11-2023,,7523.10821
06-11-2023,,8099.255444
07-11-2023,,6860.185318
08-11-2023,,6697.176156
09-11-2023,,6754.450017
10-11-2023,,8552.850492
11-11-2023,,8750.404383
12-11-2023,,9501.861265
13-11-2023,,7739.269933
14-11-2023,,7769.500484
15-11-2023,,6722.304416
16-11-2023,,7320.652219
17-11-2023,,6963.119047
